empleado_id,empresa_id,genero,edad,experiencia,antiguedad,departamento,seniority,modalidad,salario
EMP_00000,EMP_016,Hombre,50,29.1,1.8,Desarrollo,Mid,Híbrido,30k-45k
EMP_00001,EMP_005,Hombre,42,19.5,2.5,RRHH,Junior,Híbrido,<30k
EMP_00002,EMP_006,Mujer,32,6.0,2.0,DevOps,Mid,Híbrido,30k-45k
EMP_00003,EMP_010,Hombre,45,22.0,3.3,Desarrollo,Mid,Remoto,30k-45k
EMP_00004,EMP_044,Mujer,45,22.1,4.1,Producto,Mid,Presencial,30k-45k
EMP_00005,EMP_015,Mujer,42,22.9,6.1,RRHH,Mid,Remoto,30k-45k
EMP_00006,EMP_038,Hombre,46,25.6,0.0,Ventas,Mid,Híbrido,30k-45k
EMP_00007,EMP_002,Mujer,49,27.4,1.5,RRHH,Junior,Remoto,<30k
EMP_00008,EMP_040,Hombre,24,2.8,4.7,Marketing,Senior,Híbrido,45k-60k
EMP_00009,EMP_048,Mujer,30,6.8,2.4,Marketing,Lead,Híbrido,>60k
EMP_00010,EMP_035,Mujer,41,20.6,0.8,Desarrollo,Junior,Híbrido,<30k
EMP_00011,EMP_019,Mujer,29,8.6,0.6,Finanzas,Senior,Híbrido,45k-60k
EMP_00012,EMP_046,Mujer,23,0.0,2.3,Ventas,Mid,Presencial,30k-45k
EMP_00013,EMP_020,Hombre,25,3.4,4.8,Desarrollo,Mid,Remoto,30k-45k
EMP_00014,EMP_001,Hombre,36,13.8,2.4,Producto,Mid,Remoto,30k-45k
EMP_00015,EMP_041,Mujer,37,15.5,6.3,Desarrollo,Mid,Presencial,30k-45k
EMP_00016,EMP_027,Mujer,45,20.3,1.2,Producto,Junior,Híbrido,<30k
EMP_00017,EMP_005,Mujer,50,29.2,4.8,Producto,Lead,Híbrido,>60k
EMP_00018,EMP_003,Mujer,56,35.0,5.6,UX/UI,Junior,Híbrido,<30k
EMP_00019,EMP_014,Hombre,49,27.7,5.0,Ventas,Junior,Híbrido,<30k
EMP_00020,EMP_025,Hombre,55,32.5,1.5,Data & IA,Junior,Híbrido,<30k
EMP_00021,EMP_011,Mujer,45,24.9,6.5,Data & IA,Lead,Remoto,>60k
EMP_00022,EMP_023,Hombre,43,20.9,5.0,UX/UI,Lead,Presencial,>60k
